,0
0,1647.7281
1,1644.7847
2,1643.9824
3,1639.5577
4,1639.2272
5,1642.1632
6,1644.0122
7,1639.8582
8,1638.385
9,1638.3208
10,1642.316
11,1641.9219
12,1642.7402
13,1643.9305
14,1643.0308
15,1643.0563
16,1640.7809
17,1642.8193
18,1642.3085
19,1642.0458
20,1640.6764
21,1639.8018
22,1643.2814
23,1644.345
24,1645.6979
25,1644.8527
26,1649.8784
27,1652.7815
28,1653.5142
29,1653.3918
30,1652.1375
31,1649.5
32,1644.593
33,1643.8423
34,1643.26
35,1640.4618
36,1642.5492
37,1641.5483
38,1642.4764
39,1641.3605
40,1639.3209
41,1638.959
42,1637.8013
43,1638.0564
44,1635.345
45,1633.9174
46,1631.5013
47,1624.3334
48,1617.4578
49,1622.6365
50,1626.7114
51,1626.8466
52,1630.9788
53,1623.8701
54,1623.0669
55,1622.1995
56,1619.6469
57,1622.6586
58,1621.7698
59,1621.4458
60,1622.875
61,1628.3394
62,1627.0352
63,1624.0513
64,1623.5034
65,1621.2906
66,1622.5084
67,1624.4045
68,1629.7131
69,1631.1401
70,1628.9133
71,1627.7213
72,1630.2461
73,1628.2036
74,1628.404
75,1631.9327
76,1634.6001
77,1635.4829
78,1637.4867
79,1638.9591
80,1638.5863
81,1640.1628
82,1638.5483
83,1638.6624
84,1639.5623
85,1641.3718
86,1641.182
87,1638.0325
88,1638.49
89,1640.4066
90,1640.3062
91,1640.4191
92,1636.4176
93,1645.4769
94,1647.4819
95,1650.265
96,1645.9769
97,1641.3026
98,1645.5262
99,1645.5026
100,1642.4922
101,1644.4735
102,1643.5616
103,1641.6777
104,1640.7534
105,1639.6516
106,1640.25
107,1636.4073
108,1636.9851
109,1641.9512
110,1641.134
111,1638.6514
112,1636.6295
113,1633.8533
114,1637.242
115,1640.4814
116,1640.765
117,1639.4415
118,1639.4708
119,1638.7705
120,1640.3182
121,1638.1964
122,1638.5275
123,1638.776
124,1637.2875
125,1634.2229
126,1632.9001
127,1630.1223
128,1630.4366
129,1628.2607
130,1628.8146
131,1631.3646
132,1631.0896
133,1628.2478
134,1627.4025
135,1625.8826
136,1622.8417
137,1621.4177
138,1622.9375
139,1624.4921
140,1614.7319
141,1614.4326
142,1619.1014
143,1627.6953
144,1624.0929
145,1624.1661
146,1623.7749
147,1622.3138
148,1620.7603
149,1618.638
150,1618.2183
151,1612.0928
152,1614.6638
153,1617.6609
154,1613.8575
155,1616.1526
156,1613.9237
157,1615.838
158,1620.2712
159,1623.8983
160,1625.6947
161,1627.0928
162,1624.3335
163,1624.394
164,1627.9263
165,1633.6477
166,1633.0289
167,1631.1605
168,1628.5692
169,1625.6963
170,1624.144
171,1626.7722
172,1626.6006
173,1628.178
174,1625.1603
175,1628.6655
176,1631.873
177,1634.8794
178,1634.6984
179,1634.585
180,1631.1165
181,1633.8472
182,1632.7329
183,1631.5682
184,1631.1608
185,1633.1221
186,1632.3193
187,1632.9912
188,1625.538
189,1630.4451
190,1629.844
191,1625.4236
192,1628.4105
193,1628.5703
194,1628.8751
195,1624.06
196,1618.8737
197,1620.9988
198,1623.6256
199,1628.4913
200,1626.1184
201,1623.6492
202,1622.656
203,1619.2931
204,1618.9502
205,1619.4005
206,1622.9149
207,1622.7708
208,1622.0393
209,1621.9993
210,1623.3882
211,1624.739
212,1623.8561
213,1626.4539
214,1625.7289
215,1626.4293
216,1628.3772
217,1627.4078
218,1630.0121
219,1630.4043
220,1628.9624
221,1627.3845
222,1629.6837
223,1630.5306
224,1631.2452
225,1631.9907
226,1633.2384
227,1634.8909
228,1636.5754
229,1636.6809
230,1636.7612
231,1635.2467
232,1636.923
233,1637.6042
234,1637.4404
235,1637.8707
236,1648.1147
237,1657.973
238,1662.8733
239,1663.5046
240,1664.1555
241,1670.016
242,1666.4707
243,1663.7991
244,1668.8575
245,1669.6616
246,1665.2063
247,1665.1997
248,1663.926
249,1665.219
250,1668.1199
251,1667.9149
252,1668.6196
253,1668.3823
254,1668.7605
255,1671.6436
256,1675.3677
257,1676.0801
258,1676.819
259,1676.5248
260,1675.8317
261,1673.7566
262,1676.4663
263,1678.0308
264,1678.9578
265,1679.0433
266,1676.2445
267,1674.1489
268,1675.1257
269,1676.5663
270,1675.7523
271,1677.0092
272,1677.4977
273,1678.6177
274,1678.5719
275,1679.0215
276,1677.4624
277,1674.5718
278,1674.5103
279,1674.9745
280,1673.0225
281,1670.9565
